main_id,year,date,country,route,location,orig_lat,orig_lon,map_lat,map_lon,n_dead_missing,fix_type,coord_status
2022.MMP2229,2022,2022-04-05,Niger,Sahara Desert crossing,"On the route from Algeria to Assamaka, Niger",19.336292,19.336292,NA,NA,1,drop-lateqlon,"excluded (lat == lon, garbage)"
2022.MMP2234,2022,2022-05-05,Niger,Sahara Desert crossing,"On the route from Algeria to Assamaka, Niger",19.336292,19.336292,NA,NA,2,drop-lateqlon,"excluded (lat == lon, garbage)"
2014.MMP00152,2014,2014-07-19,Egypt,Central Mediterranean,"off the coast of Kafr el-Sheikh governorate, Egypt",31.5818,31,31.5818,31,55,drop-noFix,flagged (shown at IOM's coordinates)
2014.MMP00207,2014,2014-09-14,Egypt,Central Mediterranean,"Off coast of Alexandria, Egypt",31.5253,29.6864,31.5253,29.6864,88,drop-noFix,flagged (shown at IOM's coordinates)
2014.MMP00222,2014,2014-07-10,Norway,Mainland Europe to the UK,"Body recovered near Lisa, Norway on 02.01.2015 - English Channel crossing",50.98159,1.81062,50.98159,1.81062,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00019,2015,2015-01-16,Libya,Central Mediterranean,"Off the coast of Zliten, Libya",36.8103313,27.271264,36.8103313,27.271264,45,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00025,2015,2015-01-22,Malta,Central Mediterranean,"Off the coast of Mellieha, Malta",35.272947,-2.924594,35.272947,-2.924594,21,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00041,2015,2015-02-07,Türkiye,Eastern Mediterranean,"Marmaris, en route to Rhodes",34.579,12.4365,34.579,12.4365,9,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00094,2015,2015-04-10,Egypt,Central Mediterranean,"Unspecified location off the coast of Kafr el-Sheikh, Egypt",31.1063198,30.941975,31.1063198,30.941975,2,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00110,2015,2015-04-20,Greece,Eastern Mediterranean,"Zephyros beach, Rhodes, Greece (right on coast)",33.7123,11.4474,33.7123,11.4474,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00127,2015,2015-05-02,Egypt,Central Mediterranean,"Off the coast of Beheira’s Edku city, Egypt",31.2996277,30.292164,31.2996277,30.292164,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00149,2015,2015-05-25,Egypt,Central Mediterranean,"off coast of Kafr el-Sheikh, Egypt",38.3243,26.28878,38.3243,26.28878,5,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00187,2015,2015-06-17,Libya,Central Mediterranean,Unspecified location in the Central Mediterranean,34.9814784,23.490954,34.9814784,23.490954,3,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00201,2015,2015-06-25,Egypt,Central Mediterranean,Unspecified location between Egypt and Italy,35.1288385,18.902834,35.1288385,18.902834,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00203,2015,2015-06-26,France,Mainland Europe to the UK,"French entrance to Channel Tunnel, France",46.227638,2.213749,46.227638,2.213749,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00228,2015,2015-07-09,Libya,Central Mediterranean,About 40 miles north of Libya,37.779414,26.35341,37.779414,26.35341,12,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00275,2015,2015-08-03,Italy,Central Mediterranean,Unspecified location in the Central Mediterranean,34.9814784,23.490954,34.9814784,23.490954,5,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00292,2015,2015-08-11,Libya,Central Mediterranean,"Channel of Sicily - departed from Garabouli, Libya",37.8998228,15.444212,37.8998228,15.444212,60,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00298,2015,2015-08-15,Libya,Central Mediterranean,About 34 kilometers off the Libyan coast,36.941323,27.343616,36.941323,27.343616,49,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00327,2015,2015-08-23,Tunisia,Central Mediterranean,Off the Coast of Tunisia,37.5005,27.0791,37.5005,27.0791,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00336,2015,2015-08-25,Italy,Central Mediterranean,Unspecified location in the Central Mediterranean,36.632829,-3.532317,36.632829,-3.532317,1,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00338,2015,2015-08-27,Italy,Central Mediterranean,Unknown,31.199373,16.596383,31.199373,16.596383,8,drop-noFix,flagged (shown at IOM's coordinates)
2015.MMP00348,2015,2015-08-31,Italy,Central Mediterranean,Central Mediteranean,34.25502621,20.970292,34.25502621,20.970292,6,drop-noFix,flagged (shown at IOM's coordinates)
